Number,Bin,Description,Vendor,VMRS Code,Type,On Hand Total,Alt Part Num,Inter VMRS,Major VMRS,Minor VMRS,Prev PO Facility,Tank Facility,Order Price,Last Order Date,Reorder Qty,Reorder Point,Manufacturer,Avg Ship Days
3J-35-291,,"PANEL, FRONT WHEEL W/HOLE FOR DOOR",0000205791,000-000-000,CRITICAL PART,0.0,3J-35-291,000,000,000,00003,,$242.300,1/1/1900,0.00,0,,0
3J-35-297,C 05,"COVER, ENTRANCE DOOR SWITCH, STAINLESS",0000205791,000-000-000,Part,2.0,3J-35-297,000,000,000,00003,,$151.220,1/1/1900,1.00,1,,0
3J-35-47,,CAP REAR ROOF 96A3 ONLY,0000205791,000-000-000,Part,0.0,3J-35-47,000,000,000,00102,,$304.500,1/1/1900,0.00,0,,0
3J-35-48,,HEADLIGHT COVER,0000205791,000-000-000,CRITICAL PART,0.0,3J-35-48,000,000,000,,,$0.000,1/1/1900,0.00,0,,0
3J-35-89,,"PANEL, RH, 96A, ABOVE HEADLIGHT",0000205791,000-000-000,CRITICAL PART,0.0,3J-35-89,000,000,000,00003,,$41.970,1/1/1900,1.00,1,,0
3J-36-131,,BATTERY COMPARTMENT FLOOR,0000205791,000-000-000,CRITICAL PART,0.0,3J-36-131,000,000,000,,,$0.000,1/1/1900,0.00,0,,0
3J-4-178,C 01,"COVER, DOME LIGHT",0000205791,000-000-000,Part,1.0,3J-4-178,000,000,000,00003,,$18.850,5/31/2017,1.00,1,,0
3J-4-1R137,,"TREAD, RIBBED BLUE, 5/16IN",0000205791,000-000-000,Part,0.0,3J-4-1R137,000,000,000,00003,,$79.560,1/1/1900,1.00,1,,0
3J-4-22,,"BRACKET, STEP, 96A MODEL",0000205791,000-000-000,CRITICAL PART,0.0,3J-4-27,000,000,000,,,$147.600,1/1/1900,0.00,0,,0
3J-51-164,,"CHANNEL, MTG R.H., SUB ASSY",0000205791,000-000-000,CRITICAL PART,0.0,3J-51-164,000,000,000,00003,,$920.520,1/1/1900,1.00,1,,0
3J-5-15,,"ROD, WINDOW BLIND",0000205791,000-000-000,CRITICAL PART,0.0,3J-5-15,000,000,000,,,$9.010,1/1/1900,0.00,0,,0
3J-5-25,,"BLIND, WINDSHIELD LH GRAY 96A3",0000205791,000-000-000,CRITICAL PART,0.0,3J-5-25,000,000,000,00003,,$211.280,1/1/1900,1.00,1,,0
3J-53-132,C 06,"END, SKIRT RAIL",0000205791,000-000-000,Part,1.0,3J-53-132,000,000,000,,,$12.000,1/1/1900,1.00,1,,0
3J-5-35,,"ROD, WINDOW BLIND",0000205791,000-000-000,CRITICAL PART,0.0,3J-5-35,000,000,000,,,$16.560,1/1/1900,0.00,0,,0
3J-5-36,,"ROD, GUIDE, SHORT",0000205791,000-000-000,Part,0.0,3J-5-36,000,000,000,00003,,$15.410,1/1/1900,1.00,1,,0
